codigo,nombre_iniciativa,facultad,carrera,instrumento,anio,semestre,modalidad,estado_sisav,n_estudiantes,n_academicos,n_titulados,n_empleadores,n_organizaciones_osc,n_titulados_charlista,n_titulados_expositor,n_titulados_asistente,n_empleadores_charlista,n_empleadores_expositor,n_empleadores_asistente,n_organizaciones_osc_charlista,n_organizaciones_osc_expositor,n_organizaciones_osc_asistente,competencia_sello,sello_tecnologia,sello_responsabilidad_social,sello_sustentabilidad,sello_genero,competencia_generica,dominios_disciplinares,ciclo_estudio,internacionalizacion,catedra_asignatura,comuna_rm,evidencia,cantidad_act_planificadas,cantidad_act_ejecutadas,requiere_revision,motivo_revision,_archivo_origen,_anio,_origen_dato
DEMO-0001,Iniciativa demo 0001,FCCOT,Ingeniería_Civil_en_Obras_Civiles,VEDP,2022,1S,Online,EJECUCION,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Responsabilidad social,False,True,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar; Competencias para la empleabilidad y el Aprendizaje Continuo",Expresivo tecnológico,1,True,Introducción a la Ingeniería Biomédica,Las Condes,SI,1.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0002,Iniciativa demo 0002,FING,Ingeniería_Civil_en_Mecánica,EXTENSION,2022,1S,Presencial,EJECUCION,42.0,0.0,33.0,2.0,0.0,4.0,8.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,Sostenibilidad; Tecnología,True,False,True,False,Competencias para la empleabilidad y el Aprendizaje Continuo,"Gestionar y Administrar Proyectos y Procesos Constructivos, Desarrollar y ejecutar proyectos y procesos constructivos",1,False,DISEÑO VECTORIAL A LA PRODUCCION 3D,Macul,NO,3.0,3.0,True,sin evidencia,generador_sintetico_seed42,2022,sintetico
DEMO-0003,Iniciativa demo 0003,FHTCS,Trabajo_Social,EXTENSION,2022,2S,Presencial,NO REALIZADO,18.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,7.0,RESPONSABILIDAD_SOCIAL,False,True,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Ciencia Jurídica; Investigación,1,False,Práctica Profesional,San Joaquin,SI,6.0,6.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0004,Iniciativa demo 0004,FHTCS,Trabajo_Social,EXTENSION,2022,2S,Presencial,NO REALIZADO,12.0,5.0,7.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Sostenibilidad; Tecnología,True,False,True,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Mantenimiento; Diseño y selección de equipos e instalaciones; Diseño y selección de procesos de fabricación y de manufactura; Proyectos mecánicos,2,False,Química Orgánica II,Pedro Aguirre Cerda,SI,2.0,2.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0005,Iniciativa demo 0005,FCCOT,Arquitectura,VEDP,2022,2S,Online,EJECUCION,49.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,TECNOLOGIA; SUSTENTABILIDAD; RESPONSABILIDAD_SOCIAL,True,True,True,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar","Farmacia asistencial, hospitalaria y comunitaria.Industria farmacéutica y cosmética",1,False,Relaciones Económicas Internacionales; Trabajo de Título I,Conchali,SI,2.0,2.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0006,Iniciativa demo 0006,FCNMMA,Ingeniería_en_Industria_Alimentaria,EXTENSION,2022,2S,Presencial,EJECUCION,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,SUSTENTABILIDAD,False,False,True,False,Competencias para la empleabilidad y el Aprendizaje Continuo,Diseño y desarrollo de soluciones electrónicas,3,False,Procesos Industrials,Melipilla,SI,1.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0007,Iniciativa demo 0007,FAE,Bibliotecología_y_Documentación,EXTENSION,2022,1S,Presencial,EJECUCION,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,SUSTENTABILIDAD; TECNOLOGIA,True,False,True,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar","Administrador y diseñador de sistemas y servicios documentales, bibliográficos y administrativos; Creador y administrador de organizaciones de información: archivos, centros de documentación, bibliotecas físicas y digitales; Gestor, analizador y creador de recursos informativos en sistemas y redes; Organizador, buscador y difusor de la información registrada en diferentes medios; Creador de bases de datos documentales; Conductor y generador de necesidades de información; Socializador de usuarios en los procesos de búsqueda y uso de la información; Garante del patrimonio cultural documental; Gestión de unidades y servicios de información; Representación del conocimiento y Gestión de información; Fundamentos e investigación Bibliotecológica",1,False,Inmunología,La Reina,SI,3.0,3.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0008,Iniciativa demo 0008,FAE,Contador_Público_y_Auditor,VEDP,2022,1S,Presencial,EJECUCION,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TECNOLOGIA,True,False,False,False,Competencias para la empleabilidad y el Aprendizaje Continuo,. Gestión informática; . Tecnologías de información y comunicación; . Ingeniería de software; . Sistemas de información; . Desarrollo de software; . Redes de datos,2,False,Control Automático II,La Pintana,SI,5.0,5.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0009,Iniciativa demo 0009,FAE,Bibliotecología_y_Documentación,FCR,2022,1S,Presencial,EJECUCION,21.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,RESPONSABILIDAD SOCIAL,False,True,False,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Expresivo tecnológico,1,False,Ciencia de los materiales,Cerrillos,SI,1.0,1.0,False,,generador_sintetico_seed42,2022,sintetico
DEMO-0010,Iniciativa demo 0010,FING,Ingeniería_Civil_Industrial,VEDP,2022,2S,Presencial,EJECUCION,91.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,SUSTENTABILIDAD; RESPONSABILIDAD_SOCIAL; TECNOLOGIA,True,True,True,False,"Competencias genéricas para la ciudadanía, la vida y el bienestar",Ciencia Jurídica,2,False,Taller de Arquitectura II,La Granja,NO,3.0,2.0,True,sin evidencia,generador_sintetico_seed42,2022,sintetico
